Name:Agave,Score:17.8
Name:Mediterraneo,Score:17.8
Name:Piadina Restaurant,Score:17.8
Name:Jimmy Ryan'S,Score:17.8
Name:Van Dam Diner,Score:17.857142857142858
Name:Tov Kosher Kitchen,Score:17.75
Name:Notaro Restaurant,Score:17.75
Name:El Chivito D'Oro Iii,Score:17.8
Name:Scorpio,Score:17.666666666666668
Name:Yip'S,Score:17.666666666666668
Name:West 53Rd Gourmet Deli,Score:17.666666666666668
Name:Pete'S Clam Stop,Score:17.666666666666668
Name:Wilbel Pizza,Score:17.666666666666668
Name:Vesuvio Restaurant & Pizza,Score:17.666666666666668
Name:Academy Restauraunt,Score:17.6
Name:Volare Restaurant,Score:17.6
Name:Rego Park Cafe,Score:17.6
Name:Los Arrieros Restaurant,Score:17.6
Name:Nectar Of 82Nd Street,Score:17.6
Name:El Hornero Bakery,Score:17.6
Name:Happy Fortune Ii,Score:17.571428571428573
Name:Burger King/Metro Mall,Score:17.571428571428573
Name:Market Restaurant (C-D Block),Score:17.5
Name:T-Bone Diner,Score:17.5
Name:Killarney'S Pub,Score:17.5
Name:The Heights Bar & Grill,Score:17.5
Name:Joe'S Shanghai Restaurant,Score:17.46153846153846
Name:Jardin De China Rest,Score:17.428571428571427
Name:Bella Blu,Score:17.4
Name:World Cup Cafe,Score:17.375
Name:Back To Nature,Score:17.333333333333332
Name:Nicky'S Pizza,Score:18
Name:Kang Suh Korean Restaurant,Score:17.333333333333332
Name:La Piazza Pizzeria & Restaurant,Score:17.333333333333332
Name:Los Amigos Mexican Restaurant,Score:17.285714285714285
Name:Bocca,Score:17.285714285714285
Name:Moonstruck East,Score:17.285714285714285
Name:New Dyker Restaurant,Score:17.333333333333332
Name:Stuyvesant Yacht Club,Score:17.25
Name:Mcdwyers Pub,Score:17.2
Name:Estelle,Score:17.25
Name:Texas Rotisserie,Score:17.6
Name:Maries Crisis Cafe,Score:17.2
Name:New Ruan'S Restaurant,Score:17.2
Name:Sahara East Restaurant,Score:17.166666666666668
Name:Pepolino,Score:17.2
Name:O'Hara'S,Score:17.25
Name:El Vaquero Barras,Score:17.25
Name:Li Greci'S Staaten Restaurant,Score:17
Name:Brunos On The Boulevard,Score:17
Name:La Sabrosura,Score:17
Name:Minar Indian Restaurant,Score:17
Name:New Kim'S Restaurant,Score:17
Name:The Players Club,Score:17
Name:Iguana Restaurant,Score:17
Name:Moto,Score:17
Name:Ciro Pizza,Score:17
Name:Bourbon Street,Score:16.875
Name:Vinny'S Of Carroll Garden Restaurant & Luncheonett,Score:17
Name:Towne Cafe,Score:17
Name:Karavas Pizza N Pita,Score:16.857142857142858
Name:Grand Canyon,Score:17.166666666666668
Name:The Magician,Score:16.8
Name:Russian Samovar,Score:16.8
Name:Casabianca Pizzeria,Score:16.8
Name:D.B.A.,Score:17.166666666666668
Name:Acquista Trattoria,Score:16.8
Name:Cebu,Score:16.8
Name:Jacque'S Cafe,Score:16.8
Name:Gottscheer Hall,Score:16.8
Name:Bocelli,Score:16.75
Name:Gigi'S Pizzeria,Score:16.75
Name:Underground Lounge,Score:16.75
Name:P & S Deli Grocery,Score:16.75
Name:Quality Cafe & Restaurant,Score:16.666666666666668
Name:Ten Degrees Bistro,Score:16.666666666666668
Name:Michael'S Restaurant,Score:16.727272727272727
Name:Ginger'S Bar,Score:16.666666666666668
Name:Jacks Ale House,Score:16.666666666666668
Name:Neil Simon Theatre,Score:16.666666666666668
Name:Broadway Restaurant,Score:16.6
Name:Taka Hashi Restaurant,Score:16.6
Name:Hotel Carlyle,Score:16.6
Name:Red Bamboo,Score:16.8
Name:Republic Restaurant,Score:16.6
Name:Tony'S Pizza,Score:16.57894736842105
Name:Faros Restaurant,Score:16.6
Name:John & Tonys Pizza,Score:16.5
Name:Restaurant Riki,Score:16.5
Name:Han Bat Restaurant,Score:16.5
Name:Novita,Score:16.5
Name:Muldoons Bar,Score:16.5
Name:Concourse Jamaican Bakery,Score:16.5
Name:Mezcals Restaurant,Score:16.428571428571427
Name:Tastee Corner,Score:16.428571428571427
Name:Smiler'S,Score:16.4
Name:Swing 46 Jazz And Supper Club,Score:16.4
Name:Yankee Clipper,Score:16.4
Name:Barracuda Bar,Score:16.5
Name:Water Front Ale House,Score:16.4
Name:Uncle Vanya,Score:16.4
Name:Dunkin' Donuts/Baskin' Robbins,Score:16.4
Name:Citrus Bar & Grill,Score:16.4
Name:Giovanni'S Restaurant & Cafe,Score:16.4
Name:Pho Hoai Bay Ridge,Score:16.4
Name:Piccolo Angolo,Score:16.4
Name:Olive Tree,Score:16.4
Name:Pio Pio,Score:16.333333333333332
Name:Ennju,Score:16.333333333333332
Name:North Shore Diner,Score:16.333333333333332
Name:Viand Cafe,Score:16.4
Name:Shamrock Inn,Score:16.333333333333332
Name:Piccola Venezia,Score:16.333333333333332
Name:Arabelle,Score:16.6
Name:My Mother'S Place,Score:16.25
Name:Nino'S Restaurant,Score:16.333333333333332
Name:View Lounge,Score:16.333333333333332
Name:Wrap N Run Grill,Score:16.333333333333332
Name:Polish National Home,Score:16.25
Name:Da Mikelle Ii,Score:16.25
Name:Schaffer'S Tavern,Score:16.25
Name:Famous Famiglia Pizza,Score:16.2
Name:Gaslight,Score:16.2
Name:Barone Pizza,Score:16.2
Name:Gemini'S Lounge,Score:16.25
Name:Prospect Coffee Shop,Score:16.2
Name:Villa Barone Manor,Score:16.2
Name:Evergreen Restaurant,Score:16.333333333333332
Name:Corato I Pizza & Restaurant,Score:16.2
Name:Cafe Lalo,Score:16.2
Name:Paneorama Bakery,Score:16.2
Name:Stir Cafe,Score:16.166666666666668
Name:Jackson Diner Indian Cuisine,Score:16.166666666666668
Name:Bennie'S Thai Cafe,Score:16.166666666666668
Name:Joey'S Place,Score:16.166666666666668
Name:Knapp St Pizza,Score:16.142857142857142
Name:Old Town Bar & Restaurant,Score:16
Name:Marumi,Score:16
Name:Little Vincent'S Pizza Restaurant,Score:16
Name:Western Bakery,Score:16.166666666666668
Name:Pepe Rosso To Go,Score:16
Name:Tap-A-Keg,Score:16
Name:Danny'S Pizzeria & Cafe,Score:16
Name:Crystal Manor,Score:16
Name:Miss Lily'S 7A,Score:16
Name:Portobello Cafe,Score:16
Name:Don Peppe,Score:16
Name:Carom Cafe Billiards,Score:16
Name:Pao,Score:16
Name:Guy & Gallard,Score:16
Name:El Buen Ambiente,Score:16
Name:Paradise Manor,Score:16
Name:Dyker Beach Golf (Grill Room),Score:16
Name:Laguardia Courtyard Hotel By Marriott,Score:16
Name:The Central Bar,Score:16
Name:The Punch Bowl,Score:16
Name:Cafe Champignon,Score:16
Name:9024/Catering By Michael Schick Inc.,Score:16
Name:Dinastia China,Score:16
Name:Il Palazzo,Score:16.2
Name:Cuccios Bakery,Score:16
Name:J & R Pizza,Score:16
Name:Latin Bakery,Score:16
Name:Tai Pan Bakery,Score:15.928571428571429
Name:Grand Hyatt New York Hotel,Score:16
Name:Agra Restaurant,Score:15.833333333333334
Name:Community Food And Juice,Score:15.857142857142858
Name:Mcaleer'S Pub,Score:15.833333333333334
Name:Joseph'S Ristorante,Score:15.833333333333334
Name:Nino'S Pizza,Score:15.8
Name:K'S Cafeteria,Score:15.833333333333334
Name:Whaler Bar, Cafe Buon Giorno,Score:15.8
Name:D & P Restaurant & Cocktail,Score:15.8
Name:Ott Thai Cuisine,Score:15.8
Name:Panda Kitchen,Score:15.8
Name:Al Cholo Bakery,Score:15.8
Name:Candies Bar,Score:15.8
Name:Mr K'S Restaurant,Score:15.8
Name:Barrow'S Pub,Score:15.75
Name:Cibar - Lady Mendl'S Tea Salon,Score:15.75
Name:Pizza Garden,Score:15.75
Name:Souen Restaurant,Score:16
Name:Delmonico Gourmet,Score:15.75
Name:Bronx Grill,Score:15.75
Name:Memories Lounge,Score:15.75
Name:Jackie'S West Indian Bakery,Score:15.666666666666666
Name:Spoon Bread Catering,Score:15.75
Name:La Cabana Argentina,Score:15.666666666666666
Name:Symposium Greek Restaurant,Score:15.666666666666666
Name:The Library,Score:15.666666666666666
Name:Pizza Park,Score:15.666666666666666
Name:Noodle Cafe Zen,Score:15.666666666666666
Name:Whitestone Lanes,Score:15.6
Name:Havana Ny,Score:15.6
Name:Shell Lanes,Score:15.6
Name:Harry'S Burrito Junction,Score:15.714285714285714
Name:B & M Hot Bagel & Grocery,Score:15.6
Name:Garden Grill,Score:15.6
Name:Hop Lee Kitchen,Score:15.6
Name:The Old Time Vincent'S,Score:15.6
Name:Gino'S Pizzeria Restaurant,Score:15.6
Name:Everest Diner,Score:15.571428571428571
Name:Jimbo'S Hamburger Place,Score:15.571428571428571
Name:New York Dolls,Score:15.6
Name:Restivo Ristorante,Score:15.571428571428571
Name:Coyote Ugly,Score:15.5
Name:Irish Cottage,Score:15.6
Name:Nublu,Score:15.5
Name:Tre Giovani Pizza & Pasta,Score:15.5
Name:Izalco Restaurant,Score:15.5
Name:Gotham Cafe (Inside Holiday Inn),Score:15.5
Name:Scorpio Bar,Score:15.5
Name:Phoenix Garden,Score:15.5
Name:Usagi,Score:15.5
Name:Topaze Restaurant,Score:15.5
Name:Marbella Restaurant,Score:15.4
Name:New Floridian Diner,Score:15.428571428571429
Name:The Best Italian Pizza,Score:15.5
Name:Scalini Fedeli,Score:15.4
Name:Lenihan'S Saloon,Score:15.4
Name:Friend'S Tavern,Score:15.4
Name:Swifty'S,Score:15.5
Name:Lolita'S Restaurant,Score:15.4
Name:Rathbones Pub,Score:15.4
Name:Chez Josephine,Score:15.4
Name:Daniello'S Pizzeria,Score:15.4
Name:Fiorentino Ristorante,Score:15.333333333333334
Name:Veselka Restaurant,Score:15.333333333333334
Name:Mansions Cater,Score:15.333333333333334
Name:Mr Broadway Kosher Restaurant,Score:15.333333333333334
Name:La Gourmet,Score:15.333333333333334
Name:Georgios Country Grill,Score:15.333333333333334
Name:Ramen-Ya,Score:15.4
Name:Corner Cafe And Bakery,Score:15.333333333333334
Name:City College Cafeteria,Score:15.333333333333334
Name:Flagship Diner,Score:15.285714285714286
Name:El Pote Espanol,Score:15.25
Name:Mom'S Fried Chicken,Score:15.285714285714286
Name:Dazies Restaurant,Score:15.25
Name:Buddy'S Wonder Bar,Score:15.25
Name:Uno Cafe & Billiards,Score:15.25
Name:Serafina Fabulous Pizza,Score:15.25
Name:Little Sal'S Italiano,Score:15.333333333333334
Name:Emilio Iii Bar,Score:15.25
Name:Cullen'S Tavern,Score:15.25
Name:Frank'S Pizza,Score:15.2
Name:Pizza Bagel Burger,Score:15.2
Name:Cafe Bar,Score:15.2
Name:Lite Delights,Score:15.2
Name:El Cantinero,Score:15.2
Name:Pho Bac Vietnamese Seafood Cuisine,Score:15.2
Name:The Abbey Pub,Score:15.166666666666666
Name:Ramonita'S Restaurant,Score:15.2
Name:Chopstix Restaurant,Score:15.166666666666666
Name:Rocco Pizza,Score:15.25
Name:Caravan Of Dreams,Score:15.166666666666666
Name:Roma Pizza,Score:15.142857142857142
Name:Marina Cafe,Score:15
Name:Galicia Restaurant,Score:15.142857142857142
Name:Q.B.Comm.College-Main Kitchen/Tiger Bites Pizza Section,Score:15
Name:Java Restaurant,Score:15
Name:Trellis,Score:15.166666666666666
Name:Oyster Bar,Score:15
Name:La Mirabelle Restaurant,Score:15
Name:Da Nico Restaurant,Score:15
Name:Yakiniku West Restaurant,Score:15
Name:Porto Prince Star Restaurant,Score:15
Name:Wcou Radio / Tile Bar,Score:15
Name:Golden Dove Diner,Score:15
Name:Malecon Restaurant,Score:15
Name:Arte Cafe,Score:15
Name:Jack'S Pizza & Pasta,Score:15
Name:Coral Diner,Score:15
Name:Jewel Bako,Score:15
Name:Westway Diner,Score:15
Name:Peter'S Waterfront Ale House,Score:15
Name:Peter Mcmanus,Score:15
Name:Defonte'S Sandwich Shop,Score:15
Name:Pyramid,Score:15
Name:Lb Spumoni Gardens,Score:15
Name:Terminal Cafe/Yankee Clipper,Score:15
Name:Tsukushi Restaurant,Score:15
Name:Park Plaza Restaurant,Score:15
Name:Peculiar Pub,Score:15
Name:Felix,Score:15
Name:Primola Restaurant,Score:15
Name:Pavillion Caterers,Score:15
Name:Lorenzo & Maria'S,Score:15
Name:Amnon Kosher Pizza,Score:14.857142857142858
Name:Bassett Caterers,Score:14.857142857142858
Name:Cafe Bravo,Score:14.857142857142858
Name:Cheito Duran Deli Grocery,Score:14.857142857142858
Name:La Nortena Express Restaurant,Score:14.857142857142858
Name:Freddie & Pepper'S Pizza,Score:14.857142857142858
Name:Prohibition,Score:15
Name:Armando'S Pizza,Score:15
Name:Golden Crown Bakery,Score:14.833333333333334
Name:Front Street Pizza,Score:14.833333333333334
Name:Carmine'S Restaurant,Score:14.833333333333334
Name:Julius,Score:14.833333333333334
Name:Munchtime,Score:14.833333333333334
Name:Showman'S Cafe,Score:14.8
Name:Riccardo'S,Score:14.8
